"","Person","Age","Gender","Group","Container","Percentage"
"253",58,18,"female","2","Container_4",0.669
"254",59,18,"female","1","Container_4",0.819
"255",60,18,"female","2","Container_4",0.73
"256",61,21,"male","1","Container_4",0.772
"257",62,19,"male","2","Container_4",0.819
"258",63,18,"female","1","Container_4",0.839
"259",64,18,"female","2","Container_4",0.687
"260",65,18,"female","1","Container_4",0.752
"261",1,24,"female","1","Container_5",0.839
"262",2,23,"male","2","Container_5",0.851
"263",3,19,"female","1","Container_5",0.721
"264",4,22,"male","2","Container_5",0.795
"265",5,39,"female","1","Container_5",0.784
"266",6,22,"female","2","Container_5",0.863
"267",7,22,"male","1","Container_5",0.793
"268",8,36,"female","2","Container_5",0.737
"269",9,29,"male","1","Container_5",0.767
"270",10,22,"female","2","Container_5",0.904
"271",11,18,"female","1","Container_5",0.877
"272",12,22,"female","2","Container_5",0.881
"273",13,23,"male","1","Container_5",0.793
"274",14,32,"female","2","Container_5",0.707
"275",15,22,"female","1","Container_5",0.842
"276",16,38,"female","2","Container_5",0.786
"277",17,25,"female","1","Container_5",0.756
"278",18,33,"female","2","Container_5",0.78
"279",19,22,"female","1","Container_5",0.727
"280",20,23,"male","2","Container_5",0.834
"281",21,32,"female","1","Container_5",0.828
"282",22,33,"female","2","Container_5",0.82
"283",23,31,"male","1","Container_5",0.906
"284",24,23,"female","2","Container_5",0.735
"285",25,20,"male","1","Container_5",0.831
"286",26,25,"female","2","Container_5",0.946
"287",27,20,"male","1","Container_5",0.794
"288",28,26,"male","2","Container_5",0.736
"289",29,18,"female","1","Container_5",0.763
"290",30,19,"female","2","Container_5",0.61
"291",31,18,"female","1","Container_5",0.836
"292",32,22,"female","2","Container_5",0.86
"293",33,24,"female","1","Container_5",0.763
"294",34,22,"male","2","Container_5",0.778
"295",35,20,"female","1","Container_5",0.733
"296",36,18,"female","2","Container_5",0.717
"297",37,27,"female","1","Container_5",0.836
"298",38,19,"female","2","Container_5",0.744
"299",39,20,"female","1","Container_5",0.77
"300",40,19,"female","2","Container_5",0.711
"301",41,18,"female","1","Container_5",0.665
"302",42,19,"female","2","Container_5",0.811
"303",43,20,"female","1","Container_5",0.793
"304",44,18,"female","2","Container_5",0.748
"305",45,18,"male","1","Container_5",0.747
"306",46,24,"female","2","Container_5",0.836
"307",47,18,"female","1","Container_5",0.735
"308",48,18,"female","2","Container_5",0.698
"309",49,22,"female","1","Container_5",0.809
"310",50,22,"female","2","Container_5",0.752
"311",51,20,"female","1","Container_5",0.85
"312",52,22,"male","2","Container_5",0.719
"313",53,18,"female","1","Container_5",0.709
"314",54,18,"female","2","Container_5",0.776
"315",55,18,"female","1","Container_5",0.908
"316",56,18,"female","2","Container_5",0.85
"317",57,18,"female","1","Container_5",0.697
"318",58,18,"female","2","Container_5",0.801
"319",59,18,"female","1","Container_5",0.866
"320",60,18,"female","2","Container_5",0.713
"321",61,21,"male","1","Container_5",0.808
"322",62,19,"male","2","Container_5",0.816
"323",63,18,"female","1","Container_5",0.921
"324",64,18,"female","2","Container_5",0.755
"325",65,18,"female","1","Container_5",0.741
"326",1,24,"female","1","Container_6",0.922
"327",2,23,"male","2","Container_6",0.838
"328",3,19,"female","1","Container_6",0.704
"329",4,22,"male","2","Container_6",0.889
"330",5,39,"female","1","Container_6",0.799
"331",6,22,"female","2","Container_6",0.878
"332",7,22,"male","1","Container_6",0.812
"333",8,36,"female","2","Container_6",0.746
"334",9,29,"male","1","Container_6",0.84
"335",10,22,"female","2","Container_6",0.853
"336",11,18,"female","1","Container_6",0.783
"337",12,22,"female","2","Container_6",0.856
"338",13,23,"male","1","Container_6",0.809
"339",14,32,"female","2","Container_6",0.829
"340",15,22,"female","1","Container_6",0.864
"341",16,38,"female","2","Container_6",0.853
"342",17,25,"female","1","Container_6",0.66
"343",18,33,"female","2","Container_6",0.769
"344",19,22,"female","1","Container_6",0.731
"345",20,23,"male","2","Container_6",0.855
"346",21,32,"female","1","Container_6",0.819
"347",22,33,"female","2","Container_6",0.842
"348",23,31,"male","1","Container_6",0.841
"349",24,23,"female","2","Container_6",0.811
"350",25,20,"male","1","Container_6",0.851
"351",26,25,"female","2","Container_6",0.924
"352",27,20,"male","1","Container_6",0.752
"353",28,26,"male","2","Container_6",0.81
"354",29,18,"female","1","Container_6",0.809
"355",30,19,"female","2","Container_6",0.571
"356",31,18,"female","1","Container_6",0.93
"357",32,22,"female","2","Container_6",0.912
"358",33,24,"female","1","Container_6",0.739
"359",34,22,"male","2","Container_6",0.807
"360",35,20,"female","1","Container_6",0.721
"361",36,18,"female","2","Container_6",0.647
"362",37,27,"female","1","Container_6",0.808
"363",38,19,"female","2","Container_6",0.714
"364",39,20,"female","1","Container_6",0.793
"365",40,19,"female","2","Container_6",0.587
"366",41,18,"female","1","Container_6",0.715
"367",42,19,"female","2","Container_6",0.837
"368",43,20,"female","1","Container_6",0.836
"369",44,18,"female","2","Container_6",0.868
"370",45,18,"male","1","Container_6",0.822
"371",46,24,"female","2","Container_6",0.764
"372",47,18,"female","1","Container_6",0.612
"373",48,18,"female","2","Container_6",0.787
"374",49,22,"female","1","Container_6",0.855
"375",50,22,"female","2","Container_6",0.723
"376",51,20,"female","1","Container_6",0.824
"377",52,22,"male","2","Container_6",0.744
"378",53,18,"female","1","Container_6",0.679
"379",54,18,"female","2","Container_6",0.749
"380",55,18,"female","1","Container_6",0.962
"381",56,18,"female","2","Container_6",0.808
"382",57,18,"female","1","Container_6",0.631
"383",58,18,"female","2","Container_6",0.6
"384",59,18,"female","1","Container_6",0.808
"385",60,18,"female","2","Container_6",0.845
"386",61,21,"male","1","Container_6",0.815
"387",62,19,"male","2","Container_6",0.774
"388",63,18,"female","1","Container_6",0.822
"389",64,18,"female","2","Container_6",0.677
"390",65,18,"female","1","Container_6",0.662
"391",1,24,"female","1","Container_7",0.892
"392",2,23,"male","2","Container_7",0.822
"393",3,19,"female","1","Container_7",0.656
"394",4,22,"male","2","Container_7",0.793
"395",5,39,"female","1","Container_7",0.771
"396",6,22,"female","2","Container_7",0.94
"397",7,22,"male","1","Container_7",0.816
"398",8,36,"female","2","Container_7",0.833
"399",9,29,"male","1","Container_7",0.931
"400",10,22,"female","2","Container_7",0.819
"401",11,18,"female","1","Container_7",0.835
"402",12,22,"female","2","Container_7",0.814
"403",13,23,"male","1","Container_7",0.826
"404",14,32,"female","2","Container_7",0.826
"405",15,22,"female","1","Container_7",0.851
"406",16,38,"female","2","Container_7",0.867
"407",17,25,"female","1","Container_7",0.735
"408",18,33,"female","2","Container_7",0.842
"409",19,22,"female","1","Container_7",0.669
"410",20,23,"male","2","Container_7",0.824
"411",21,32,"female","1","Container_7",0.867
"412",22,33,"female","2","Container_7",0.791
"413",23,31,"male","1","Container_7",0.77
"414",24,23,"female","2","Container_7",0.773
"415",25,20,"male","1","Container_7",0.861
"416",26,25,"female","2","Container_7",0.875
"417",27,20,"male","1","Container_7",0.808
"418",28,26,"male","2","Container_7",0.795
"419",29,18,"female","1","Container_7",0.832
"420",30,19,"female","2","Container_7",0.606
