"","Person","Age","Gender","Group","Questions","Percentage"
"418",28,26,"male","2","Question_8",0.789
"419",29,18,"female","1","Question_8",0.771
"420",30,19,"female","2","Question_8",0.864
"421",31,18,"female","1","Question_8",0.829
"422",32,22,"female","2","Question_8",0.864
"423",33,24,"female","1","Question_8",0.804
"424",34,22,"male","2","Question_8",0.796
"425",35,20,"female","1","Question_8",0.764
"426",36,18,"female","2","Question_8",0.796
"427",37,27,"female","1","Question_8",0.721
"428",38,19,"female","2","Question_8",0.704
"429",39,20,"female","1","Question_8",0.839
"430",40,19,"female","2","Question_8",0.454
"431",41,18,"female","1","Question_8",0.754
"432",42,19,"female","2","Question_8",0.821
"433",43,20,"female","1","Question_8",0.914
"434",44,18,"female","2","Question_8",0.871
"435",45,18,"male","1","Question_8",0.864
"436",46,24,"female","2","Question_8",0.739
"437",47,18,"female","1","Question_8",0.886
"438",48,18,"female","2","Question_8",0.743
"439",49,22,"female","1","Question_8",0.854
"440",50,22,"female","2","Question_8",0.854
"441",51,20,"female","1","Question_8",0.736
"442",52,22,"male","2","Question_8",0.8
"443",53,18,"female","1","Question_8",0.854
"444",54,18,"female","2","Question_8",0.807
"445",55,18,"female","1","Question_8",0.932
"446",56,18,"female","2","Question_8",0.829
"447",57,18,"female","1","Question_8",0.643
"448",58,18,"female","2","Question_8",0.771
"449",59,18,"female","1","Question_8",0.882
"450",60,18,"female","2","Question_8",0.882
"451",61,21,"male","1","Question_8",0.864
"452",62,19,"male","2","Question_8",0.754
"453",63,18,"female","1","Question_8",0.939
"454",64,18,"female","2","Question_8",0.821
"455",65,18,"female","1","Question_8",0.811
"456",1,24,"female","1","Question_9",0.979
"457",2,23,"male","2","Question_9",0.94
"458",3,19,"female","1","Question_9",0.738
"459",4,22,"male","2","Question_9",0.762
"460",5,39,"female","1","Question_9",0.767
"461",6,22,"female","2","Question_9",0.848
"462",7,22,"male","1","Question_9",0.89
"463",8,36,"female","2","Question_9",0.701
"464",9,29,"male","1","Question_9",0.933
"465",10,22,"female","2","Question_9",0.915
"466",11,18,"female","1","Question_9",0.979
"467",12,22,"female","2","Question_9",0.804
"468",13,23,"male","1","Question_9",0.843
"469",14,32,"female","2","Question_9",0.92
"470",15,22,"female","1","Question_9",1
"471",16,38,"female","2","Question_9",0.961
"472",17,25,"female","1","Question_9",0.802
"473",18,33,"female","2","Question_9",0.912
"474",19,22,"female","1","Question_9",0.789
"475",20,23,"male","2","Question_9",0.975
"476",21,32,"female","1","Question_9",0.94
"477",22,33,"female","2","Question_9",0.773
"478",23,31,"male","1","Question_9",0.902
"479",24,23,"female","2","Question_9",0.933
"480",25,20,"male","1","Question_9",0.908
"481",26,25,"female","2","Question_9",0.932
"482",27,20,"male","1","Question_9",0.838
"483",28,26,"male","2","Question_9",0.837
"484",29,18,"female","1","Question_9",0.918
"485",30,19,"female","2","Question_9",0.674
"486",31,18,"female","1","Question_9",1
"487",32,22,"female","2","Question_9",0.865
"488",33,24,"female","1","Question_9",0.837
"489",34,22,"male","2","Question_9",0.881
"490",35,20,"female","1","Question_9",0.776
"491",36,18,"female","2","Question_9",0.911
"492",37,27,"female","1","Question_9",0.905
"493",38,19,"female","2","Question_9",0.89
"494",39,20,"female","1","Question_9",0.749
"495",40,19,"female","2","Question_9",0.834
"496",41,18,"female","1","Question_9",0.834
"497",42,19,"female","2","Question_9",0.92
"498",43,20,"female","1","Question_9",0.957
"499",44,18,"female","2","Question_9",0.933
"500",45,18,"male","1","Question_9",0.805
"501",46,24,"female","2","Question_9",0.88
"502",47,18,"female","1","Question_9",0.617
"503",48,18,"female","2","Question_9",0.755
"504",49,22,"female","1","Question_9",0.907
"505",50,22,"female","2","Question_9",0.812
"506",51,20,"female","1","Question_9",0.958
"507",52,22,"male","2","Question_9",0.741
"508",53,18,"female","1","Question_9",0.833
"509",54,18,"female","2","Question_9",0.813
"510",55,18,"female","1","Question_9",0.979
"511",56,18,"female","2","Question_9",0.979
"512",57,18,"female","1","Question_9",0.915
"513",58,18,"female","2","Question_9",0.79
"514",59,18,"female","1","Question_9",0.958
"515",60,18,"female","2","Question_9",0.911
"516",61,21,"male","1","Question_9",0.823
"517",62,19,"male","2","Question_9",0.954
"518",63,18,"female","1","Question_9",0.893
"519",64,18,"female","2","Question_9",0.713
"520",65,18,"female","1","Question_9",0.83
"521",1,24,"female","1","Question_10",0.979
"522",2,23,"male","2","Question_10",0.883
"523",3,19,"female","1","Question_10",0.921
"524",4,22,"male","2","Question_10",0.908
"525",5,39,"female","1","Question_10",0.829
"526",6,22,"female","2","Question_10",0.961
"527",7,22,"male","1","Question_10",0.873
"528",8,36,"female","2","Question_10",0.883
"529",9,29,"male","1","Question_10",0.943
"530",10,22,"female","2","Question_10",0.785
"531",11,18,"female","1","Question_10",0.883
"532",12,22,"female","2","Question_10",0.893
"533",13,23,"male","1","Question_10",0.982
"534",14,32,"female","2","Question_10",0.79
"535",15,22,"female","1","Question_10",0.901
"536",16,38,"female","2","Question_10",0.893
"537",17,25,"female","1","Question_10",0.738
"538",18,33,"female","2","Question_10",0.896
"539",19,22,"female","1","Question_10",0.964
"540",20,23,"male","2","Question_10",1
"541",21,32,"female","1","Question_10",0.918
"542",22,33,"female","2","Question_10",0.822
"543",23,31,"male","1","Question_10",0.918
"544",24,23,"female","2","Question_10",0.936
"545",25,20,"male","1","Question_10",0.918
"546",26,25,"female","2","Question_10",0.982
"547",27,20,"male","1","Question_10",0.654
"548",28,26,"male","2","Question_10",0.694
"549",29,18,"female","1","Question_10",0.964
"550",30,19,"female","2","Question_10",0.708
"551",31,18,"female","1","Question_10",0.961
"552",32,22,"female","2","Question_10",0.943
"553",33,24,"female","1","Question_10",0.979
"554",34,22,"male","2","Question_10",0.905
"555",35,20,"female","1","Question_10",0.869
"556",36,18,"female","2","Question_10",0.883
"557",37,27,"female","1","Question_10",0.926
"558",38,19,"female","2","Question_10",0.911
"559",39,20,"female","1","Question_10",0.8
"560",40,19,"female","2","Question_10",0.783
"561",41,18,"female","1","Question_10",0.889
"562",42,19,"female","2","Question_10",0.943
"563",43,20,"female","1","Question_10",0.957
"564",44,18,"female","2","Question_10",0.911
"565",45,18,"male","1","Question_10",0.768
"566",46,24,"female","2","Question_10",0.883
"567",47,18,"female","1","Question_10",0.707
"568",48,18,"female","2","Question_10",0.901
"569",49,22,"female","1","Question_10",0.982
"570",50,22,"female","2","Question_10",0.964
"571",51,20,"female","1","Question_10",0.858
"572",52,22,"male","2","Question_10",0.868
"573",53,18,"female","1","Question_10",0.921
"574",54,18,"female","2","Question_10",0.861
"575",55,18,"female","1","Question_10",0.975
"576",56,18,"female","2","Question_10",0.911
"577",57,18,"female","1","Question_10",0.861
"578",58,18,"female","2","Question_10",0.726
"579",59,18,"female","1","Question_10",0.94
"580",60,18,"female","2","Question_10",0.847
"581",61,21,"male","1","Question_10",0.954
"582",62,19,"male","2","Question_10",0.943
"583",63,18,"female","1","Question_10",0.943
"584",64,18,"female","2","Question_10",0.846
"585",65,18,"female","1","Question_10",0.908
"586",1,24,"female","1","Question_11",0.79
"587",2,23,"male","2","Question_11",0.744
"588",3,19,"female","1","Question_11",0.556
"589",4,22,"male","2","Question_11",0.655
"590",5,39,"female","1","Question_11",0.617
"591",6,22,"female","2","Question_11",0.75
"592",7,22,"male","1","Question_11",0.687
"593",8,36,"female","2","Question_11",0.565
"594",9,29,"male","1","Question_11",0.624
"595",10,22,"female","2","Question_11",0.742
"596",11,18,"female","1","Question_11",0.539
"597",12,22,"female","2","Question_11",0.739
"598",13,23,"male","1","Question_11",0.639
"599",14,32,"female","2","Question_11",0.802
"600",15,22,"female","1","Question_11",0.646
"601",16,38,"female","2","Question_11",0.497
"602",17,25,"female","1","Question_11",0.59
"603",18,33,"female","2","Question_11",0.535
"604",19,22,"female","1","Question_11",0.446
"605",20,23,"male","2","Question_11",0.687
"606",21,32,"female","1","Question_11",0.674
"607",22,33,"female","2","Question_11",0.573
"608",23,31,"male","1","Question_11",0.706
"609",24,23,"female","2","Question_11",0.573
"610",25,20,"male","1","Question_11",0.58
"611",26,25,"female","2","Question_11",0.727
"612",27,20,"male","1","Question_11",0.647
"613",28,26,"male","2","Question_11",0.564
"614",29,18,"female","1","Question_11",0.603
"615",30,19,"female","2","Question_11",0.699
"616",31,18,"female","1","Question_11",0.773
"617",32,22,"female","2","Question_11",0.725
"618",33,24,"female","1","Question_11",0.638
"619",34,22,"male","2","Question_11",0.639
"620",35,20,"female","1","Question_11",0.537
"621",36,18,"female","2","Question_11",0.506
"622",37,27,"female","1","Question_11",0.473
"623",38,19,"female","2","Question_11",0.544
"624",39,20,"female","1","Question_11",0.459
"625",40,19,"female","2","Question_11",0.471
"626",41,18,"female","1","Question_11",0.446
"627",42,19,"female","2","Question_11",0.525
"628",43,20,"female","1","Question_11",0.592
"629",44,18,"female","2","Question_11",0.606
"630",45,18,"male","1","Question_11",0.537
"631",46,24,"female","2","Question_11",0.705
"632",47,18,"female","1","Question_11",0.716
"633",48,18,"female","2","Question_11",0.621
"634",49,22,"female","1","Question_11",0.59
"635",50,22,"female","2","Question_11",0.526
"636",51,20,"female","1","Question_11",0.731
"637",52,22,"male","2","Question_11",0.555
"638",53,18,"female","1","Question_11",0.422
"639",54,18,"female","2","Question_11",0.592
"640",55,18,"female","1","Question_11",0.811
"641",56,18,"female","2","Question_11",0.573
"642",57,18,"female","1","Question_11",0.509
"643",58,18,"female","2","Question_11",0.784
"644",59,18,"female","1","Question_11",0.639
"645",60,18,"female","2","Question_11",0.495
"646",61,21,"male","1","Question_11",0.594
"647",62,19,"male","2","Question_11",0.528
"648",63,18,"female","1","Question_11",0.6
"649",64,18,"female","2","Question_11",0.464
"650",65,18,"female","1","Question_11",0.635
"651",1,24,"female","1","Question_12",1
"652",2,23,"male","2","Question_12",0.964
